Timestamp,UID,machine1,machine2,machine3,machine4,machine5,machine6,machine7,machine8,machine9,machine10,machine11,machine12,machine13,machine14,machine15,machine16,machine17,machine18,machine19,machine20,machine21
1671124594398,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671124603216,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671124631934,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671124654396,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671124663208,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671124692033,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671124714552,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671124723234,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671124752229,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671124774531,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671124783254,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671124812054,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671124834533,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671124843238,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671124872056,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671124894577,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671124903263,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671124932094,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671124954548,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671124963282,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671124991985,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125014773,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671125023267,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671125052008,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125074488,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671125083292,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671125112007,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125134481,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671125143282,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671125172008,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125194474,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671125203293,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671125232001,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125254612,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671125263295,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671125292375,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125314937,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671125323307,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671125352437,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125374863,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671125383298,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671125412446,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125434877,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671125443373,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671125472159,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125494622,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671125503329,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671125532200,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125554661,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671125563354,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671125592465,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125614615,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671125623353,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671125652081,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125674565,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671125683348,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671125712076,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125734547,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671125743384,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671125772089,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125794552,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671125803368,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671125832098,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125854700,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671125863409,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671125893159,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125915268,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671125923380,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671125952638,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671125975478,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671125983386,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126013195,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671126035633,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671126043400,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126073167,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671126095573,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671126103406,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126132261,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671126154730,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671126163438,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126193102,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671126214630,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671126223423,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126252141,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671126274635,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671126283428,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126312161,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671126334637,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671126343439,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126372158,sensor1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1671126394654,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671126403456,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126432471,sensor1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1671126454730,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671126463452,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126492264,sensor1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1671126514770,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671126523454,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126553281,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671126575740,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671126583483,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126613237,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671126635739,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671126643500,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126673274,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671126695773,sensor3,,,,,,,,,,,,,,,,,1,0,0,1,0
1671126703486,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126733260,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671126754698,sensor3,,,,,,,,,,,,,,,,,1,0,0,1,0
1671126763492,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126792350,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671126815788,sensor3,,,,,,,,,,,,,,,,,1,0,0,1,0
1671126823504,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126852224,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671126874712,sensor3,,,,,,,,,,,,,,,,,1,0,0,1,0
1671126883525,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126912232,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671126934741,sensor3,,,,,,,,,,,,,,,,,1,0,0,1,0
1671126943509,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671126972240,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671126994723,sensor3,,,,,,,,,,,,,,,,,0,0,0,1,0
1671127003518,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671127032344,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671127057901,sensor3,,,,,,,,,,,,,,,,,0,0,0,1,0
1671127063617,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671127092561,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671127115049,sensor3,,,,,,,,,,,,,,,,,0,0,0,1,0
1671127123531,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671127152404,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671127174847,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671127183547,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671127212621,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671127235065,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671127243550,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671127272625,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671127295301,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671127303605,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671127332386,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671127355823,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671127363590,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671127392386,sensor1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,
1671127428590,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671127428746,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671127434806,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671127452386,sensor1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,
1671127478320,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671127483609,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671127486059,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671127515898,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671127534958,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671127543615,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671127572358,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671127594815,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671127603647,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671127632372,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671127666163,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671127666417,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671127669821,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671127692387,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671127729821,sensor3,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1
1671127731686,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671127752387,sensor1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,
1671127789821,sensor3,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1
1671127812387,sensor1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,
1671127813903,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671127845235,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671127846752,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671127849821,sensor3,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1
1671127868383,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671127878395,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671127894868,sensor3,,,,,,,,,,,,,,,,,0,1,0,0,0
1671127903648,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671127936609,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671127954938,sensor3,,,,,,,,,,,,,,,,,0,1,0,0,0
1671127963657,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671127992511,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671128014957,sensor3,,,,,,,,,,,,,,,,,0,1,0,0,0
1671128023668,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671128052406,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671128074854,sensor3,,,,,,,,,,,,,,,,,0,1,0,0,0
1671128083654,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671128112435,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671128134882,sensor3,,,,,,,,,,,,,,,,,0,1,0,1,0
1671128143666,sensor2,,,,,,,,,1,1,0,0,0,0,0,0,,,,,
1671128172443,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671128194884,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671128203687,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671128232452,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671128254995,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671128263703,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671128292556,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671128314978,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671128323715,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671128352554,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671128374988,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671128383731,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671128412546,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671128435034,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671128443699,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671128472544,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671128495202,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671128503720,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671128532719,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671128555041,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671128563744,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671128592848,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671128615063,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
1671128623742,sensor2,,,,,,,,,1,1,0,0,1,0,0,0,,,,,
1671128652496,sensor1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
1671128674965,sensor3,,,,,,,,,,,,,,,,,1,1,0,1,0
